timestamp,action,confidence,risk,position_size,expected_holding_period,stop_loss,raw_score,label,asset,asset_score,explanation
2025-07-16 20:48:37.917008,BUY  SOL,0.32,medium,32.1,3-7 days,3.2%,0.321,BULLISH,SOL,0.321,Mild positive sentiment for SOL.
2025-07-16 20:48:37.917008,BUY  MSFT,0.23,medium,22.8,3-7 days,1.0%,0.228,BULLISH,MSFT,0.228,Mild positive sentiment for MSFT.
2025-07-16 20:48:37.917008,BUY  ETH,0.13,medium,12.7,1-3 days,4.6%,0.127,BULLISH,ETH,0.127,Mild positive sentiment for ETH.
2025-07-16 20:48:37.917008,BUY  AMZN,0.32,medium,32.2,3-7 days,1.9%,0.322,BULLISH,AMZN,0.322,Mild positive sentiment for AMZN.
2025-07-16 20:48:37.917008,BUY  TSLA,0.2,high,19.7,1 day,6.1%,0.197,BULLISH,TSLA,0.197,Mild positive sentiment for TSLA.
2025-07-16 20:48:37.917008,HOLD  DOGE,0.06,medium,6.4,1-2 days,4.4%,0.064,NEUTRAL,DOGE,0.064,Neutral sentiment for DOGE.
2025-07-16 20:48:37.917008,BUY  GOOGL,0.31,medium,30.8,5-10 days,1.3%,0.308,BULLISH,GOOGL,0.308,Mild positive sentiment for GOOGL.
2025-07-16 20:48:37.917008,BUY  DOWJONES,0.18,medium,17.9,1-3 days,1.7%,0.179,BULLISH,DOWJONES,0.179,Mild positive sentiment for DOWJONES.
2025-07-16 20:48:37.917008,HOLD  NIFTY,0.08,low,8.0,14-30 days,1.2%,-0.08,NEUTRAL,NIFTY,-0.08,Neutral sentiment for NIFTY.
2025-07-16 20:48:37.917008,SELL  AAPL,0.2,medium,20.2,0 days (exit now),1.9%,-0.202,BEARISH,AAPL,-0.202,Mild negative sentiment for AAPL.
2025-07-16 20:48:37.917008,BUY  XRP,0.17,high,16.8,1 day,5.7%,0.168,BULLISH,XRP,0.168,Mild positive sentiment for XRP.
2025-07-16 20:48:37.917008,HOLD  NFLX,0.0,medium,0.0,2-5 days,4.0%,0.0,NEUTRAL,NFLX,0.0,Neutral sentiment for NFLX.
2025-07-16 20:48:37.917008,BUY  META,0.2,medium,19.7,1-3 days,1.9%,0.197,BULLISH,META,0.197,Mild positive sentiment for META.
2025-07-16 20:48:37.917008,HOLD  BTC,0.09,medium,8.8,1-2 days,3.1%,0.088,NEUTRAL,BTC,0.088,Neutral sentiment for BTC.
2025-07-16 20:48:37.917008,HOLD  GSPC,0.05,low,4.6,7-14 days,0.7%,-0.046,NEUTRAL,GSPC,-0.046,Neutral sentiment for GSPC.
2025-07-16 20:48:37.917008,HOLD  RUT,0.0,medium,0.0,2-5 days,3.1%,0.0,NEUTRAL,RUT,0.0,Neutral sentiment for RUT.
2025-07-16 20:48:37.917008,BUY  SOL,0.32,medium,32.1,3-7 days,3.2%,0.321,BULLISH,SOL,0.321,Mild positive sentiment for SOL.
2025-07-16 20:48:37.917008,BUY  MSFT,0.23,medium,22.8,3-7 days,1.0%,0.228,BULLISH,MSFT,0.228,Mild positive sentiment for MSFT.
2025-07-16 20:48:42.551861,BUY  AMZN,0.32,medium,32.2,3-7 days,1.8%,0.322,BULLISH,AMZN,0.322,Mild positive sentiment for AMZN.
2025-07-16 20:48:42.551861,BUY  SOL,0.32,medium,32.1,3-7 days,3.2%,0.321,BULLISH,SOL,0.321,Mild positive sentiment for SOL.
2025-07-16 20:48:42.551861,HOLD  NFLX,0.0,medium,0.0,2-5 days,4.0%,0.0,NEUTRAL,NFLX,0.0,Neutral sentiment for NFLX.
2025-07-16 20:48:42.551861,BUY  MSFT,0.23,medium,22.8,3-7 days,1.0%,0.228,BULLISH,MSFT,0.228,Mild positive sentiment for MSFT.
2025-07-16 20:48:42.551861,BUY  GOOGL,0.31,medium,30.8,5-10 days,1.2%,0.308,BULLISH,GOOGL,0.308,Mild positive sentiment for GOOGL.
2025-07-16 20:48:42.551861,BUY  ETH,0.13,medium,12.7,1-3 days,4.6%,0.127,BULLISH,ETH,0.127,Mild positive sentiment for ETH.
2025-07-16 20:48:42.551861,HOLD  RUT,0.0,medium,0.0,2-5 days,3.1%,0.0,NEUTRAL,RUT,0.0,Neutral sentiment for RUT.
2025-07-16 20:48:42.551861,BUY  TSLA,0.2,high,19.7,1 day,6.2%,0.197,BULLISH,TSLA,0.197,Mild positive sentiment for TSLA.
2025-07-16 20:48:42.551861,HOLD  BTC,0.09,medium,8.8,1-2 days,3.1%,0.088,NEUTRAL,BTC,0.088,Neutral sentiment for BTC.
